join_so_nsubj Vinken 
join_so_dobj board 
makes_so_nsubj that 
makes_so_dobj cigarettes 
appear_s_nsubj results 
talking_s_nsubj We 
is_s_nsubj asbestos 
studied_so_nsubj who 
studied_so_dobj workers 
led_so_nsubj Talcott 
led_so_dobj team 
worked_s_nsubj who 
have_so_nsubj Four 
have_so_dobj diseases 
study_so_nsubj who 
study_so_dobj diseases 
have_so_nsubj that 
have_so_dobj standard 
imposed_so_nsubj Agency 
imposed_so_dobj ban 
made_so_nsubj that 
made_so_dobj paper 
dumped_so_nsubj Workers 
dumped_so_dobj sacks 
mixed_o_dobj fibers 
described_so_nsubj Workers 
described_so_dobj clouds 
hung_s_nsubj that 
has_so_nsubj It 
has_so_dobj bearing 
eased_so_nsubj yield 
eased_so_dobj fraction 
assume_so_nsubj yields 
assume_so_dobj reinvestment 
lengthened_s_nsubj maturity 
reached_so_nsubj maturity 
reached_so_dobj point 
said_s_nsubj Negus 
blip_s_nsubj yields 
rose_s_nsubj yield 
grew_s_nsubj Assets 
beat_so_nsubj yields 
beat_so_dobj investments 
yielding_so_nsubj funds 
yielding_so_dobj % 
had_so_nsubj Dollar 
had_so_dobj yield 
invests_s_nsubj It 
fell_s_nsubj yield 
slid_s_nsubj yield 
holds_so_nsubj which 
holds_so_dobj interest 
succeeds_so_nsubj He 
succeeds_so_dobj Daniels 
resigned_s_nsubj who 
holds_so_nsubj Grace 
holds_so_dobj three 
complete_o_dobj transaction 
makes_so_nsubj Controls 
makes_so_dobj systems 
employs_so_nsubj It 
employs_so_dobj people 
has_o_dobj revenue 
suspended_so_nsubj government 
suspended_so_dobj sales 
dropped_s_nsubj authority 
oversee_so_nsubj he 
oversee_so_dobj parts 
settled_s_nsubj Association 
were_s_nsubj officials 
joined_so_nsubj executives 
joined_so_dobj III 
followed_s_nsubj Champagne 
make_so_nsubj governor 
make_so_dobj it 
welcomed_so_nsubj governor 
welcomed_so_dobj guests 
drooled_s_nsubj executives 
fed_soo_nsubj nine 
